name	pred_path	test_path	public_score	note
vote_winners_private_t24	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_winners_private_t24_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_winners_private_t24_test.csv		vote pool=winners weights=private threshold=0.24
base_widebankG_hailmary_30702_winners_uniform_k18_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k18_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k18_a42_test.csv		base=widebankG_hailmary_30702 pool=winners weights=uniform keep=0.18 add=0.42
base_widebankG_hailmary_30702_samesrc_diverse_k10_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_samesrc_diverse_k10_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_samesrc_diverse_k10_a70_test.csv		base=widebankG_hailmary_30702 pool=samesrc weights=diverse keep=0.10 add=0.70
vote_nonclone_private_t60	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_nonclone_private_t60_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_nonclone_private_t60_test.csv		vote pool=nonclone weights=private threshold=0.60
base_widebankG_hailmary_30702_winners_private_k24_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_private_k24_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_private_k24_a70_test.csv		base=widebankG_hailmary_30702 pool=winners weights=private keep=0.24 add=0.70
base_widebankG_hailmary_30702_winners_uniform_k18_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k18_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k18_a50_test.csv		base=widebankG_hailmary_30702 pool=winners weights=uniform keep=0.18 add=0.50
base_widebankG_hailmary_30702_top16_uniform_k24_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k24_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k24_a50_test.csv		base=widebankG_hailmary_30702 pool=top16 weights=uniform keep=0.24 add=0.50
base_widebankG_hailmary_30702_winners_p10_k18_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_p10_k18_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_p10_k18_a50_test.csv		base=widebankG_hailmary_30702 pool=winners weights=p10 keep=0.18 add=0.50
base_intersect_bold7h_33028_nonclone_diverse_k00_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_intersect_bold7h_33028_nonclone_diverse_k00_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_intersect_bold7h_33028_nonclone_diverse_k00_a70_test.csv		base=intersect_bold7h_33028 pool=nonclone weights=diverse keep=0.00 add=0.70
base_fusion_samesrc03_32274_top6_diverse_k24_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top6_diverse_k24_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top6_diverse_k24_a70_test.csv		base=fusion_samesrc03_32274 pool=top6 weights=diverse keep=0.24 add=0.70
vote_top16_diverse_t50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_top16_diverse_t50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_top16_diverse_t50_test.csv		vote pool=top16 weights=diverse threshold=0.50
base_intersect_bold7h_33028_nonclone_p10_k00_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_intersect_bold7h_33028_nonclone_p10_k00_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_intersect_bold7h_33028_nonclone_p10_k00_a70_test.csv		base=intersect_bold7h_33028 pool=nonclone weights=p10 keep=0.00 add=0.70
base_fusion_samesrc03_32274_top10_diverse_k30_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top10_diverse_k30_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top10_diverse_k30_a70_test.csv		base=fusion_samesrc03_32274 pool=top10 weights=diverse keep=0.30 add=0.70
base_widebankG_hailmary_30702_samesrc_diverse_k10_a60	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_samesrc_diverse_k10_a60_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_samesrc_diverse_k10_a60_test.csv		base=widebankG_hailmary_30702 pool=samesrc weights=diverse keep=0.10 add=0.60
base_widebankG_hailmary_30702_samesrc_diverse_k10_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_samesrc_diverse_k10_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_samesrc_diverse_k10_a42_test.csv		base=widebankG_hailmary_30702 pool=samesrc weights=diverse keep=0.10 add=0.42
vote_top16_uniform_t30	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_top16_uniform_t30_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_top16_uniform_t30_test.csv		vote pool=top16 weights=uniform threshold=0.30
vote_top16_private_t30	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_top16_private_t30_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/vote_top16_private_t30_test.csv		vote pool=top16 weights=private threshold=0.30
base_widebankG_hailmary_30702_winners_uniform_k24_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k24_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k24_a42_test.csv		base=widebankG_hailmary_30702 pool=winners weights=uniform keep=0.24 add=0.42
base_widebankG_hailmary_30702_winners_uniform_k24_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k24_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k24_a50_test.csv		base=widebankG_hailmary_30702 pool=winners weights=uniform keep=0.24 add=0.50
base_widebankG_hailmary_30702_top16_uniform_k30_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k30_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k30_a50_test.csv		base=widebankG_hailmary_30702 pool=top16 weights=uniform keep=0.30 add=0.50
base_widebankG_hailmary_30702_top16_private_k30_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_private_k30_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_private_k30_a42_test.csv		base=widebankG_hailmary_30702 pool=top16 weights=private keep=0.30 add=0.42
base_public_peak_33438_nonclone_private_k00_a60	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_nonclone_private_k00_a60_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_nonclone_private_k00_a60_test.csv		base=public_peak_33438 pool=nonclone weights=private keep=0.00 add=0.60
base_widebankG_hailmary_30702_top16_uniform_k24_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k24_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k24_a42_test.csv		base=widebankG_hailmary_30702 pool=top16 weights=uniform keep=0.24 add=0.42
base_public_peak_33438_nonclone_diverse_k00_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_nonclone_diverse_k00_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_nonclone_diverse_k00_a70_test.csv		base=public_peak_33438 pool=nonclone weights=diverse keep=0.00 add=0.70
base_public_peak_33438_top16_diverse_k00_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_top16_diverse_k00_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_top16_diverse_k00_a50_test.csv		base=public_peak_33438 pool=top16 weights=diverse keep=0.00 add=0.50
base_public_peak_33438_top16_diverse_k10_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_top16_diverse_k10_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_top16_diverse_k10_a50_test.csv		base=public_peak_33438 pool=top16 weights=diverse keep=0.10 add=0.50
base_public_peak_33438_nonclone_p10_k00_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_nonclone_p10_k00_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_nonclone_p10_k00_a70_test.csv		base=public_peak_33438 pool=nonclone weights=p10 keep=0.00 add=0.70
base_fusion_samesrc03_32274_winners_private_k24_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_winners_private_k24_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_winners_private_k24_a42_test.csv		base=fusion_samesrc03_32274 pool=winners weights=private keep=0.24 add=0.42
base_fusion_samesrc03_32274_top16_private_k24_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top16_private_k24_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top16_private_k24_a42_test.csv		base=fusion_samesrc03_32274 pool=top16 weights=private keep=0.24 add=0.42
base_widebankG_hailmary_30702_top16_p10_k24_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_p10_k24_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_p10_k24_a50_test.csv		base=widebankG_hailmary_30702 pool=top16 weights=p10 keep=0.24 add=0.50
base_widebankG_hailmary_30702_top16_uniform_k24_a60	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k24_a60_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k24_a60_test.csv		base=widebankG_hailmary_30702 pool=top16 weights=uniform keep=0.24 add=0.60
base_public_peak_33438_nonclone_private_k10_a60	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_nonclone_private_k10_a60_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_nonclone_private_k10_a60_test.csv		base=public_peak_33438 pool=nonclone weights=private keep=0.10 add=0.60
base_widebankG_hailmary_30702_winners_uniform_k18_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k18_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_winners_uniform_k18_a70_test.csv		base=widebankG_hailmary_30702 pool=winners weights=uniform keep=0.18 add=0.70
base_fusion_samesrc03_32274_top16_uniform_k30_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top16_uniform_k30_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top16_uniform_k30_a42_test.csv		base=fusion_samesrc03_32274 pool=top16 weights=uniform keep=0.30 add=0.42
base_fusion_samesrc03_32274_top16_uniform_k30_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top16_uniform_k30_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top16_uniform_k30_a50_test.csv		base=fusion_samesrc03_32274 pool=top16 weights=uniform keep=0.30 add=0.50
base_widebankG_hailmary_30702_top16_uniform_k30_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k30_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_uniform_k30_a42_test.csv		base=widebankG_hailmary_30702 pool=top16 weights=uniform keep=0.30 add=0.42
base_widebankG_hailmary_30702_top16_private_k30_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_private_k30_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_widebankG_hailmary_30702_top16_private_k30_a70_test.csv		base=widebankG_hailmary_30702 pool=top16 weights=private keep=0.30 add=0.70
base_public_peak_33438_winners_diverse_k18_a50	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_winners_diverse_k18_a50_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_public_peak_33438_winners_diverse_k18_a50_test.csv		base=public_peak_33438 pool=winners weights=diverse keep=0.18 add=0.50
base_intersect_bold7h_33028_nonclone_private_k00_a70	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_intersect_bold7h_33028_nonclone_private_k00_a70_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_intersect_bold7h_33028_nonclone_private_k00_a70_test.csv		base=intersect_bold7h_33028 pool=nonclone weights=private keep=0.00 add=0.70
base_fusion_samesrc03_32274_top6_uniform_k18_a42	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top6_uniform_k18_a42_val.csv	artifacts/private_final_recheck_20260522/private_blend_search_v1/candidates/base_fusion_samesrc03_32274_top6_uniform_k18_a42_test.csv		base=fusion_samesrc03_32274 pool=top6 weights=uniform keep=0.18 add=0.42
